STATUS | wrapper  | main    | 2016/07/30 14:32:42.372 | --> Wrapper Started as Console
STATUS | wrapper  | main    | 2016/07/30 14:32:42.387 | Java Service Wrapper Standard Edition 64-bit 3.5.24
STATUS | wrapper  | main    | 2016/07/30 14:32:42.387 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2016/07/30 14:32:42.387 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2016/07/30 14:32:42.387 |   Licensed to hybris software - www.hybris.com for hybris Platform
STATUS | wrapper  | main    | 2016/07/30 14:32:42.387 | 
STATUS | wrapper  | main    | 2016/07/30 14:32:43.292 | Launching a JVM...
INFO   | jvm 1    | main    | 2016/07/30 14:32:43.732 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.278 | Jul 30, 2016 2:32:44 PM org.apache.tomcat.util.digester.SetPropertiesRule begin
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.278 | WARNUNG: [SetPropertiesRule]{Server/Service/Engine/Host/Context} Setting property 'disableURLRewriting' to 'true' did not find a matching property.
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.278 | Jul 30, 2016 2:32:44 PM org.apache.tomcat.util.digester.SetPropertiesRule begin
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.278 | WARNUNG: [SetPropertiesRule]{Server/Service/Engine/Host/Context} Setting property 'disableURLRewriting' to 'true' did not find a matching property.
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.278 | Jul 30, 2016 2:32:44 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.278 | INFORMATION: Initializing ProtocolHandler ["http-bio-9001"]
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.278 | Jul 30, 2016 2:32:44 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.278 | INFORMATION: Initializing ProtocolHandler ["http-bio-9002"]
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.496 | Jul 30, 2016 2:32:44 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.496 | INFORMATION: Initializing ProtocolHandler ["ajp-bio-8009"]
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.496 | Jul 30, 2016 2:32:44 PM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.496 | INFORMATION: Initialization processed in 545 ms
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.606 | Jul 30, 2016 2:32:44 PM org.apache.catalina.mbeans.JmxRemoteLifecycleListener createServer
INFO   | jvm 1    | main    | 2016/07/30 14:32:44.606 | INFORMATION: The JMX Remote Listener has configured the registry on port 9003 and the server on port 9004 for the Platform server
